# x psi_r psi_i psi2 
 0.000000e+00  5.035220e-04  1.364781e-04 2.721606e-07
 1.001001e-03  3.206492e-04  3.671815e-04 2.376381e-07
 2.002002e-03  1.131425e-04  5.495427e-04 3.147985e-07
 3.003003e-03 -9.259612e-05  6.707920e-04 4.585360e-07
 4.004004e-03 -2.717726e-04  7.245810e-04 5.988780e-07
 5.005005e-03 -4.040025e-04  7.110341e-04 6.687875e-07
 6.006006e-03 -4.753897e-04  6.360335e-04 6.305340e-07
 7.007007e-03 -4.799122e-04  5.102391e-04 4.906597e-07
 8.008008e-03 -4.197625e-04  3.476225e-04 2.970419e-07
 9.009009e-03 -3.048700e-04  1.640574e-04 1.198605e-07
 1.001001e-02 -1.514580e-04 -2.425545e-05 2.352785e-08
 1.101101e-02  1.995028e-05 -2.020189e-04 4.120966e-08
 1.201201e-02  1.870714e-04 -3.560080e-04 1.617374e-07
 1.301301e-02  3.284268e-04 -4.757436e-04 3.341961e-07
 1.401401e-02  4.258835e-04 -5.540346e-04 4.883311e-07
 1.501502e-02  4.666637e-04 -5.870326e-04 5.623823e-07
 1.601602e-02  4.448465e-04 -5.742234e-04 5.276209e-07
 1.701702e-02  3.619756e-04 -5.180421e-04 3.993939e-07
 1.801802e-02  2.269506e-04 -4.235547e-04 2.309052e-07
 1.901902e-02  5.498980e-05 -2.978901e-04 9.176238e-08
 2.002002e-02 -1.339859e-04 -1.498429e-04 4.040511e-08
 2.102102e-02 -3.176044e-04  1.070073e-05 1.009871e-07
 2.202202e-02 -4.734564e-04  1.731317e-04 2.541355e-07
 2.302302e-02 -5.816502e-04  3.266655e-04 4.450273e-07
 2.402402e-02 -6.270077e-04  4.607095e-04 6.053920e-07
 2.502503e-02 -6.009034e-04  5.654452e-04 6.808132e-07
 2.602603e-02 -5.023212e-04  6.322616e-04 6.520813e-07
 2.702703e-02 -3.382478e-04  6.544134e-04 5.426685e-07
 2.802803e-02 -1.231211e-04  6.275060e-04 4.089226e-07
 2.902903e-02  1.223892e-04  5.501424e-04 3.176358e-07
 3.003003e-02  3.733882e-04  4.242941e-04 3.194442e-07
 3.103103e-02  6.031302e-04  2.557018e-04 4.291494e-07
 3.203203e-02  7.857651e-04  5.385403e-05 6.203271e-07
 3.303303e-02  8.989614e-04 -1.681463e-04 8.364047e-07
 3.403403e-02  9.263790e-04 -3.942479e-04 1.013609e-06
 3.503504e-02  8.595167e-04 -6.062879e-04 1.106354e-06
 3.603604e-02  6.989733e-04 -7.853507e-04 1.105339e-06
 3.703704e-02  4.547504e-04 -9.132028e-04 1.040737e-06
 3.803804e-02  1.457780e-04 -9.740715e-04 9.700664e-07
 3.903904e-02 -2.015555e-04 -9.562435e-04 9.550262e-07
 4.004004e-02 -5.555245e-04 -8.536935e-04 1.037400e-06
 4.104104e-02 -8.819016e-04 -6.671891e-04 1.222892e-06
 4.204204e-02 -1.147034e-03 -4.050865e-04 1.479781e-06
 4.304304e-02 -1.321121e-03 -8.330711e-05 1.752300e-06
 4.404404e-02 -1.381170e-03  2.752097e-04 1.983371e-06
 4.504505e-02 -1.313582e-03  6.419752e-04 2.137630e-06
 4.604605e-02 -1.115877e-03  9.849082e-04 2.215225e-06
 4.704705e-02 -7.976109e-04  1.271031e-03 2.251704e-06
 4.804805e-02 -3.801298e-04  1.469332e-03 2.303435e-06
 4.904905e-02  1.046461e-04  1.553913e-03 2.425597e-06
 5.005005e-02  6.165684e-04  1.506774e-03 2.650525e-06
 5.105105e-02  1.110356e-03  1.320303e-03 2.976091e-06
 5.205205e-02  1.539440e-03  9.988298e-04 3.367536e-06
 5.305305e-02  1.860016e-03  5.593966e-04 3.772583e-06
 5.405405e-02  2.035207e-03  3.121516e-05 4.143041e-06
 5.505506e-02  2.038731e-03 -5.458592e-04 4.454386e-06
 5.605606e-02  1.857968e-03 -1.124165e-03 4.715794e-06
 5.705706e-02  1.495890e-03 -1.651836e-03 4.966249e-06
 5.805806e-02  9.718539e-04 -2.077272e-03 5.259561e-06
 5.905906e-02  3.208910e-04 -2.353763e-03 5.643169e-06
 6.006006e-02 -4.082964e-04 -2.444205e-03 6.140845e-06
 6.106106e-02 -1.156778e-03 -2.325133e-03 6.744380e-06
 6.206206e-02 -1.859820e-03 -1.990002e-03 7.419037e-06
 6.306306e-02 -2.452219e-03 -1.450990e-03 8.118750e-06
 6.406406e-02 -2.873889e-03 -7.394490e-04 8.806022e-06
 6.506507e-02 -3.075487e-03  9.554370e-05 9.467752e-06
 6.606607e-02 -3.023355e-03  9.901263e-04 1.012103e-05
 6.706707e-02 -2.703542e-03  1.870324e-03 1.080725e-05
 6.806807e-02 -2.124277e-03  2.657756e-03 1.157622e-05
 6.906907e-02 -1.316817e-03  3.276330e-03 1.246835e-05
 7.007007e-02 -3.342505e-04  3.659008e-03 1.350006e-05
 7.107107e-02  7.515212e-04  3.754427e-03 1.466051e-05
 7.207207e-02  1.854734e-03  3.532410e-03 1.591796e-05
 7.307307e-02  2.882092e-03  2.988182e-03 1.723569e-05
 7.407407e-02  3.740282e-03  2.144464e-03 1.858844e-05
 7.507508e-02  4.343854e-03  1.051507e-03 1.997473e-05
 7.607608e-02  4.623071e-03 -2.154443e-04 2.141920e-05
 7.707708e-02  4.530822e-03 -1.560825e-03 2.296452e-05
 7.807808e-02  4.048187e-03 -2.875662e-03 2.465725e-05
 7.907908e-02  3.187866e-03 -4.045887e-03 2.653169e-05
 8.008008e-02  1.995276e-03 -4.961817e-03 2.860075e-05
 8.108108e-02  5.468607e-04 -5.527659e-03 3.085407e-05
 8.208208e-02 -1.054209e-03 -5.670643e-03 3.326755e-05
 8.308308e-02 -2.684958e-03 -5.348572e-03 3.581622e-05
 8.408408e-02 -4.211516e-03 -4.555467e-03 3.848915e-05
 8.508509e-02 -5.499616e-03 -3.324324e-03 4.129690e-05
 8.608609e-02 -6.425669e-03 -1.726960e-03 4.427161e-05
 8.708709e-02 -6.887774e-03  1.295774e-04 4.745821e-05
 8.808809e-02 -6.815490e-03  2.109562e-03 5.090115e-05
 8.908909e-02 -6.177741e-03  4.058117e-03 5.463280e-05
 9.009009e-02 -4.987837e-03  5.812698e-03 5.866597e-05
 9.109109e-02 -3.305268e-03  7.216101e-03 6.299691e-05
 9.209209e-02 -1.233701e-03  8.129598e-03 6.761239e-05
 9.309309e-02  1.084645e-03  8.445541e-03 7.250362e-05
 9.409409e-02  3.478242e-03  8.097965e-03 7.767520e-05
 9.509510e-02  5.758307e-03  7.070610e-03 8.315163e-05
 9.609610e-02  7.733103e-03  5.401179e-03 8.897361e-05
 9.709710e-02  9.223203e-03  3.181656e-03 9.519041e-05
 9.809810e-02  1.007678e-02  5.540687e-04 1.018485e-04
 9.909910e-02  1.018343e-02 -2.297831e-03 1.089823e-04
 1.001001e-01  9.485604e-03 -5.160908e-03 1.166117e-04
 1.011011e-01  7.986308e-03 -7.807843e-03 1.247435e-04
 1.021021e-01  5.752549e-03 -1.001451e-02 1.333822e-04
 1.031031e-01  2.913731e-03 -1.157788e-02 1.425370e-04
 1.041041e-01 -3.448795e-04 -1.233343e-02 1.522325e-04
 1.051051e-01 -3.793599e-03 -1.217031e-02 1.625080e-04
 1.061061e-01 -7.173803e-03 -1.104324e-02 1.734165e-04
 1.071071e-01 -1.021666e-02 -8.979705e-03 1.850153e-04
 1.081081e-01 -1.266357e-02 -6.082110e-03 1.973581e-04
 1.091091e-01 -1.428701e-02 -2.523865e-03 2.104887e-04
 1.101101e-01 -1.490999e-02  1.459996e-03 2.244395e-04
 1.111111e-01 -1.442268e-02  5.587737e-03 2.392366e-04
 1.121121e-01 -1.279462e-02  9.550025e-03 2.549053e-04
 1.131131e-01 -1.008149e-02  1.303240e-02 2.714798e-04
 1.141141e-01 -6.425534e-03  1.573907e-02 2.890060e-04
 1.151151e-01 -2.049371e-03  1.741679e-02 3.075443e-04
 1.161161e-01  2.756749e-03  1.787633e-02 3.271629e-04
 1.171171e-01  7.653408e-03  1.701057e-02 3.479343e-04
 1.181181e-01  1.227530e-02  1.480684e-02 3.699256e-04
 1.191191e-01  1.625753e-02  1.135299e-02 3.931979e-04
 1.201201e-01  1.926327e-02  6.835974e-03 4.178042e-04
 1.211211e-01  2.101059e-02  1.532960e-03 4.437950e-04
 1.221221e-01  2.129655e-02 -4.204883e-03 4.712239e-04
 1.231231e-01  2.001636e-02 -9.974816e-03 5.001517e-04
 1.241241e-01  1.717635e-02 -1.535009e-02 5.306523e-04
 1.251251e-01  1.289897e-02 -1.991040e-02 5.628074e-04
 1.261261e-01  7.419596e-03 -2.327354e-02 5.967079e-04
 1.271271e-01  1.074688e-03 -2.512545e-02 6.324434e-04
 1.281281e-01 -5.718033e-03 -2.524692e-02 6.701028e-04
 1.291291e-01 -1.248639e-02 -2.353418e-02 7.097676e-04
 1.301301e-01 -1.873569e-02 -2.001229e-02 7.515178e-04
 1.311311e-01 -2.398384e-02 -1.483936e-02 7.954313e-04
 1.321321e-01 -2.779706e-02 -8.301518e-03 8.415915e-04
 1.331331e-01 -2.982370e-02 -7.980496e-04 8.900899e-04
 1.341341e-01 -2.982354e-02  7.182093e-03 9.410262e-04
 1.351351e-01 -2.769036e-02  1.509153e-02 9.945101e-04
 1.361361e-01 -2.346564e-02  2.236106e-02 1.050653e-03
 1.371371e-01 -1.734248e-02  2.843958e-02 1.109571e-03
 1.381381e-01 -9.658508e-03  3.283425e-02 1.171375e-03
 1.391391e-01 -8.784063e-04  3.514831e-02 1.236175e-03
 1.401401e-01  8.433556e-03  3.511345e-02 1.304079e-03
 1.411411e-01  1.764903e-02  3.261459e-02 1.375200e-03
 1.421421e-01  2.611721e-02  2.770455e-02 1.449651e-03
 1.431431e-01  3.320962e-02  2.060769e-02 1.527556e-03
 1.441441e-01  3.836519e-02  1.171143e-02 1.609046e-03
 1.451451e-01  4.113228e-02  1.546118e-03 1.694255e-03
 1.461461e-01  4.120479e-02 -9.246000e-03 1.783323e-03
 1.471471e-01  3.844942e-02 -1.995068e-02 1.876387e-03
 1.481481e-01  3.292202e-02 -2.982828e-02 1.973586e-03
 1.491491e-01  2.487139e-02 -3.816365e-02 2.075050e-03
 1.501502e-01  1.472995e-02 -4.431640e-02 2.180915e-03
 1.511512e-01  3.091363e-03 -4.776772e-02 2.291311e-03
 1.521522e-01 -9.323642e-03 -4.816064e-02 2.406378e-03
 1.531532e-01 -2.171146e-02 -4.533059e-02 2.526250e-03
 1.541542e-01 -3.323691e-02 -3.932404e-02 2.651072e-03
 1.551552e-01 -4.308860e-02 -3.040325e-02 2.780985e-03
 1.561562e-01 -5.053441e-02 -1.903687e-02 2.916129e-03
 1.571572e-01 -5.497379e-02 -5.875935e-03 3.056644e-03
 1.581582e-01 -5.598264e-02  8.282893e-03 3.202662e-03
 1.591592e-01 -5.334813e-02  2.254534e-02 3.354315e-03
 1.601602e-01 -4.709036e-02  3.597537e-02 3.511729e-03
 1.611612e-01 -3.746931e-02  4.765593e-02 3.675036e-03
 1.621622e-01 -2.497596e-02  5.674999e-02 3.844360e-03
 1.631632e-01 -1.030806e-02  6.255862e-02 4.019837e-03
 1.641642e-01  5.668787e-03  6.457134e-02 4.201593e-03
 1.651652e-01  2.197192e-02  6.250601e-02 4.389766e-03
 1.661662e-01  3.756192e-02  5.633460e-02 4.584484e-03
 1.671672e-01  5.140814e-02  4.629346e-02 4.785881e-03
 1.681682e-01  6.255577e-02  3.287641e-02 4.994082e-03
 1.691692e-01  7.018974e-02  1.681117e-02 5.209215e-03
 1.701702e-01  7.369154e-02 -9.801838e-04 5.431404e-03
 1.711712e-01  7.268481e-02 -1.943419e-02 5.660770e-03
 1.721722e-01  6.706678e-02 -3.740968e-02 5.897437e-03
 1.731732e-01  5.702287e-02 -5.375787e-02 6.141517e-03
 1.741742e-01  4.302355e-02 -6.739510e-02 6.393126e-03
 1.751752e-01  2.580274e-02 -7.737299e-02 6.652361e-03
 1.761762e-01  6.319260e-03 -8.294206e-02 6.919318e-03
 1.771772e-01 -1.429711e-02 -8.360420e-02 7.194069e-03
 1.781782e-01 -3.481138e-02 -7.915079e-02 7.476679e-03
 1.791792e-01 -5.395751e-02 -6.968339e-02 7.767187e-03
 1.801802e-01 -7.051597e-02 -5.561579e-02 8.065618e-03
 1.811812e-01 -8.339043e-02 -3.765648e-02 8.371974e-03
 1.821822e-01 -9.167834e-02 -1.677261e-02 8.686239e-03
 1.831832e-01 -9.473121e-02  5.862910e-03 9.008376e-03
 1.841842e-01 -9.220042e-02  2.893796e-02 9.338323e-03
 1.851852e-01 -8.406576e-02  5.107791e-02 9.676006e-03
 1.861862e-01 -7.064432e-02  7.092742e-02 1.002132e-02
 1.871872e-01 -5.257916e-02  8.723292e-02 1.037415e-02
 1.881882e-01 -3.080787e-02  9.892038e-02 1.073437e-02
 1.891892e-01 -6.512892e-03  1.051637e-01 1.110183e-02
 1.901902e-01  1.894403e-02  1.054396e-01 1.147638e-02
 1.911912e-01  4.409908e-02  9.956482e-02 1.185788e-02
 1.921922e-01  6.747121e-02  8.771435e-02 1.224617e-02
 1.931932e-01  8.764933e-02  7.041803e-02 1.264110e-02
 1.941942e-01  1.033768e-01  4.853625e-02 1.304253e-02
 1.951952e-01  1.136281e-01  2.321584e-02 1.345032e-02
 1.961962e-01  1.176729e-01 -4.171855e-03 1.386433e-02
 1.971972e-01  1.151242e-01 -3.210666e-02 1.428442e-02
 1.981982e-01  1.059663e-01 -5.900532e-02 1.471048e-02
 1.991992e-01  9.056210e-02 -8.331182e-02 1.514235e-02
 2.002002e-01  6.963854e-02 -1.035875e-01 1.557989e-02
 2.012012e-01  4.425036e-02 -1.185952e-01 1.602293e-02
 2.022022e-01  1.572495e-02 -1.273734e-01 1.647126e-02
 2.032032e-01 -1.440931e-02 -1.292943e-01 1.692464e-02
 2.042042e-01 -4.450673e-02 -1.241046e-01 1.738280e-02
 2.052052e-01 -7.289578e-02 -1.119446e-01 1.784538e-02
 2.062062e-01 -9.797260e-02 -9.334530e-02 1.831198e-02
 2.072072e-01 -1.182918e-01 -6.920364e-02 1.878210e-02
 2.082082e-01 -1.326489e-01 -4.073656e-02 1.925519e-02
 2.092092e-01 -1.401497e-01 -9.416954e-03 1.973060e-02
 2.102102e-01 -1.402633e-01  2.310508e-02 2.020763e-02
