# x psi_r psi_i psi2 
 9.309309e-02 -4.458550e-11  1.290787e-12 1.989533e-21
 9.409409e-02  4.442585e-11 -1.927999e-12 1.977373e-21
 9.509510e-02 -4.450829e-11  1.224090e-12 1.982486e-21
 9.609610e-02  4.490355e-11 -1.926001e-12 2.020039e-21
 9.709710e-02 -4.451120e-11  1.291092e-12 1.982914e-21
 9.809810e-02  4.529821e-11 -1.842720e-12 2.055323e-21
 9.909910e-02 -4.459852e-11  1.405737e-12 1.991004e-21
 1.001001e-01  4.554586e-11 -1.725953e-12 2.077404e-21
 1.011011e-01 -4.484703e-11  1.576100e-12 2.013740e-21
 1.021021e-01  4.564052e-11 -1.564443e-12 2.085504e-21
 1.031031e-01 -4.523712e-11  1.697226e-12 2.049278e-21
 1.041041e-01  4.570472e-11 -1.475903e-12 2.091100e-21
 1.051051e-01 -4.565293e-11  1.804279e-12 2.087445e-21
 1.061061e-01  4.570141e-11 -1.494610e-12 2.090853e-21
 1.071071e-01 -4.605841e-11  1.790290e-12 2.124582e-21
 1.081081e-01  4.580222e-11 -1.545708e-12 2.100233e-21
 1.091091e-01 -4.639178e-11  1.710992e-12 2.155125e-21
 1.101101e-01  4.598091e-11 -1.641270e-12 2.116938e-21
 1.111111e-01 -4.663184e-11  1.627920e-12 2.177178e-21
 1.121121e-01  4.630957e-11 -1.723122e-12 2.147545e-21
 1.131131e-01 -4.676608e-11  1.560307e-12 2.189501e-21
 1.141141e-01  4.669493e-11 -1.761091e-12 2.183518e-21
 1.151151e-01 -4.686099e-11  1.605438e-12 2.198530e-21
 1.161161e-01  4.709255e-11 -1.711492e-12 2.220638e-21
 1.171171e-01 -4.700457e-11  1.722567e-12 2.212397e-21
 1.181181e-01  4.742756e-11 -1.590436e-12 2.251903e-21
 1.191191e-01 -4.723816e-11  1.865091e-12 2.234922e-21
 1.201201e-01  4.766892e-11 -1.474473e-12 2.274500e-21
 1.211211e-01 -4.754787e-11  2.013535e-12 2.264854e-21
 1.221221e-01  4.781453e-11 -1.395030e-12 2.288175e-21
 1.231231e-01 -4.798212e-11  2.042963e-12 2.306457e-21
 1.241241e-01  4.796664e-11 -1.478165e-12 2.302984e-21
 1.251251e-01 -4.840049e-11  1.919853e-12 2.346293e-21
 1.261261e-01  4.811845e-11 -1.657882e-12 2.318134e-21
 1.271271e-01 -4.878917e-11  1.678394e-12 2.383200e-21
