# x psi_r psi_i psi2 
 0.000000e+00 -9.788182e-02  1.589527e-01 3.484682e-02
 1.001001e-03 -1.517170e-01  1.000440e-01 3.302685e-02
 2.002002e-03 -1.871719e-01  3.226591e-02 3.607440e-02
 3.003003e-03 -2.014760e-01 -3.649025e-02 4.192412e-02
 4.004004e-03 -1.942199e-01 -9.848504e-02 4.742065e-02
 5.005005e-03 -1.672837e-01 -1.469857e-01 4.958863e-02
 6.006006e-03 -1.245238e-01 -1.769851e-01 4.682992e-02
 7.007007e-03 -7.126125e-02 -1.857092e-01 3.956607e-02
 8.008008e-03 -1.363781e-02 -1.728618e-01 3.006718e-02
 9.009009e-03  4.208445e-02 -1.405872e-01 2.153586e-02
 1.001001e-02  9.020068e-02 -9.316124e-02 1.681518e-02
 1.101101e-02  1.261445e-01 -3.645218e-02 1.724119e-02
 1.201201e-02  1.469137e-01  2.278236e-02 2.210268e-02
 1.301301e-02  1.513021e-01  7.768031e-02 2.892656e-02
 1.401401e-02  1.399204e-01  1.220520e-01 3.447440e-02
 1.501502e-02  1.150171e-01  1.510622e-01 3.604872e-02
 1.601602e-02  8.012889e-02  1.617439e-01 3.258171e-02
 1.701702e-02  3.960983e-02  1.532892e-01 2.506650e-02
 1.801802e-02 -1.900056e-03  1.270911e-01 1.615576e-02
 1.901902e-02 -4.000388e-02  8.653669e-02 9.088909e-03
 2.002002e-02 -7.101381e-02  3.658007e-02 6.381063e-03
 2.102102e-02 -9.230479e-02 -1.685085e-02 8.804125e-03
 2.202202e-02 -1.025221e-01 -6.754464e-02 1.507307e-02
 2.302302e-02 -1.016287e-01 -1.097138e-01 2.236549e-02
 2.402402e-02 -9.079639e-02 -1.386396e-01 2.746493e-02
 2.502503e-02 -7.216643e-02 -1.511844e-01 2.806471e-02
 2.602603e-02 -4.851465e-02 -1.461154e-01 2.370338e-02
 2.702703e-02 -2.287027e-02 -1.242100e-01 1.595117e-02
 2.802803e-02  1.862889e-03 -8.813347e-02 7.770979e-03
 2.902903e-02  2.323618e-02 -4.210945e-02 2.313126e-03
 3.003003e-02  3.949941e-02  8.577281e-03 1.633773e-03
 3.103103e-02  4.973353e-02  5.818583e-02 5.859014e-03
 3.203203e-02  5.386421e-02  1.011632e-01 1.313535e-02
 3.303303e-02  5.256372e-02  1.327553e-01 2.038691e-02
 3.403403e-02  4.706267e-02  1.495181e-01 2.457056e-02
 3.503504e-02  3.890399e-02  1.496756e-01 2.391631e-02
 3.603604e-02  2.967742e-02  1.332881e-01 1.864646e-02
 3.703704e-02  2.077337e-02  1.022174e-01 1.087993e-02
 3.803804e-02  1.319044e-02  5.989767e-02 3.761718e-03
 3.903904e-02  7.421631e-03  1.094048e-02 1.747748e-04
 4.004004e-02  3.432055e-03 -3.937781e-02 1.562391e-03
 4.104104e-02  7.273609e-04 -8.568947e-02 7.343214e-03
 4.204204e-02 -1.501302e-03 -1.231058e-01 1.515729e-02
 4.304304e-02 -4.180774e-03 -1.477244e-01 2.183998e-02
 4.404404e-02 -8.140152e-03 -1.570208e-01 2.472180e-02
 4.504505e-02 -1.391075e-02 -1.500870e-01 2.271961e-02
 4.604605e-02 -2.157430e-02 -1.276956e-01 1.677161e-02
 4.704705e-02 -3.068502e-02 -9.218951e-02 9.440477e-03
 4.804805e-02 -4.028044e-02 -4.721289e-02 3.851571e-03
 4.904905e-02 -4.898306e-02  2.683025e-03 2.406539e-03
 5.005005e-02 -5.518173e-02  5.251459e-02 5.802805e-03
 5.105105e-02 -5.726929e-02  9.737011e-02 1.276071e-02
 5.205205e-02 -5.390439e-02  1.328919e-01 2.056595e-02
 5.305305e-02 -4.426030e-02  1.556890e-01 2.619803e-02
 5.405405e-02 -2.822383e-02  1.636417e-01 2.757520e-02
 5.505506e-02 -6.512432e-03  1.560743e-01 2.440161e-02
 5.605606e-02  1.931245e-02  1.337828e-01 1.827080e-02
 5.705706e-02  4.694547e-02  9.892326e-02 1.198969e-02
 5.805806e-02  7.354534e-02  5.477739e-02 8.409479e-03
 5.905906e-02  9.603133e-02  5.422732e-03 9.251422e-03
 6.006006e-02  1.114361e-01 -4.465650e-02 1.441221e-02
 6.106106e-02  1.172742e-01 -9.097989e-02 2.203058e-02
 6.206206e-02  1.118813e-01 -1.294645e-01 2.927849e-02
 6.306306e-02  9.468092e-02 -1.567683e-01 3.354078e-02
 6.406406e-02  6.634240e-02 -1.705559e-01 3.349064e-02
 6.506507e-02  2.880445e-02 -1.696696e-01 2.961747e-02
 6.606607e-02 -1.484509e-02 -1.541957e-01 2.399669e-02
 6.706707e-02 -6.062738e-02 -1.254283e-01 1.940794e-02
 6.806807e-02 -1.040457e-01 -8.573837e-02 1.817657e-02
 6.906907e-02 -1.405367e-01 -3.836416e-02 2.122237e-02
 7.007007e-02 -1.659531e-01  1.285730e-02 2.770574e-02
 7.107107e-02 -1.770251e-01  6.379462e-02 3.540764e-02
 7.207207e-02 -1.717500e-01  1.103396e-01 4.167288e-02
 7.307307e-02 -1.496639e-01  1.487156e-01 4.451563e-02
 7.407407e-02 -1.119641e-01  1.757563e-01 4.342623e-02
 7.507508e-02 -6.146167e-02  1.891386e-01 3.955097e-02
 7.607608e-02 -2.367025e-03  1.875563e-01 3.518297e-02
 7.707708e-02  6.007573e-02  1.708230e-01 3.278960e-02
 7.807808e-02  1.200708e-01  1.399013e-01 3.398939e-02
 7.907908e-02  1.718227e-01  9.685321e-02 3.890358e-02
 8.008008e-02  2.101027e-01  4.471509e-02 4.614257e-02
 8.108108e-02  2.307743e-01 -1.269740e-02 5.341800e-02
 8.208208e-02  2.312234e-01 -7.104531e-02 5.851170e-02
 8.308308e-02  2.106495e-01 -1.257691e-01 6.019109e-02
 8.408408e-02  1.701879e-01 -1.724203e-01 5.869270e-02
 8.508509e-02  1.128486e-01 -2.070022e-01 5.558472e-02
 8.608609e-02  4.327689e-02 -2.262940e-01 5.308187e-02
 8.708709e-02 -3.264349e-02 -2.281361e-01 5.311169e-02
 8.808809e-02 -1.083072e-01 -2.116503e-01 5.652628e-02
 8.908909e-02 -1.769768e-01 -1.773737e-01 6.278224e-02
 9.009009e-02 -2.323898e-01 -1.272905e-01 7.020791e-02
 9.109109e-02 -2.693274e-01 -6.474861e-02 7.672966e-02
 9.209209e-02 -2.840935e-01  5.737778e-03 8.074205e-02
 9.309309e-02 -2.748603e-01  7.879365e-02 8.175663e-02
 9.409409e-02 -2.418508e-01  1.485781e-01 8.056726e-02
 9.509510e-02 -1.873420e-01  2.092415e-01 7.887901e-02
 9.609610e-02 -1.154897e-01  2.554101e-01 7.857217e-02
 9.709710e-02 -3.199179e-02  2.826578e-01 8.091890e-02
 9.809810e-02  5.638130e-02  2.879234e-01 8.607873e-02
 9.909910e-02  1.423469e-01  2.698334e-01 9.307272e-02
 1.001001e-01  2.187142e-01  2.288970e-01 1.002297e-01
 1.011011e-01  2.789810e-01  1.675484e-01 1.059028e-01
 1.021021e-01  3.178748e-01  9.002576e-02 1.091491e-01
 1.031031e-01  3.317941e-01  2.089091e-03 1.100917e-01
 1.041041e-01  3.191143e-01 -8.940591e-02 1.098273e-01
 1.051051e-01  2.803365e-01 -1.770456e-01 1.099337e-01
 1.061061e-01  2.180666e-01 -2.534654e-01 1.117978e-01
 1.071071e-01  1.368275e-01 -3.119749e-01 1.160501e-01
 1.081081e-01  4.272063e-02 -3.471461e-01 1.223354e-01
 1.091091e-01 -5.703863e-02 -3.553131e-01 1.295008e-01
 1.101101e-01 -1.546738e-01 -3.349349e-01 1.361053e-01
 1.111111e-01 -2.424479e-01 -2.867872e-01 1.410279e-01
 1.121121e-01 -3.132659e-01 -2.139614e-01 1.439150e-01
 1.131131e-01 -3.612331e-01 -1.216664e-01 1.452921e-01
 1.141141e-01 -3.821279e-01 -1.684633e-02 1.463055e-01
 1.151151e-01 -3.737518e-01  9.235580e-02 1.482200e-01
 1.161161e-01 -3.361304e-01  1.972463e-01 1.518898e-01
 1.171171e-01 -2.715478e-01  2.892862e-01 1.574247e-01
 1.181181e-01 -1.844093e-01  3.607945e-01 1.641795e-01
 1.191191e-01 -8.094176e-02  4.055915e-01 1.710561e-01
 1.201201e-01  3.125035e-02  4.195252e-01 1.769779e-01
 1.211211e-01  1.437411e-01  4.008378e-01 1.813324e-01
 1.221221e-01  2.479115e-01  3.503411e-01 1.841990e-01
 1.231231e-01  3.356051e-01  2.713836e-01 1.862799e-01
 1.241241e-01  3.997600e-01  1.696132e-01 1.885767e-01
 1.251251e-01  4.349698e-01  5.255419e-02 1.919607e-01
 1.261261e-01  4.379291e-01 -7.096860e-02 1.968185e-01
 1.271271e-01  4.077267e-01 -1.915109e-01 2.029175e-01
 1.281281e-01  3.459608e-01 -2.997420e-01 2.095341e-01
 1.291291e-01  2.566643e-01 -3.871703e-01 2.157774e-01
 1.301301e-01  1.460416e-01 -4.468069e-01 2.209645e-01
 1.311311e-01  2.203388e-02 -4.737123e-01 2.248889e-01
 1.321321e-01 -1.062569e-01 -4.653880e-01 2.278766e-01
 1.331331e-01 -2.292429e-01 -4.219808e-01 2.306201e-01
 1.341341e-01 -3.375731e-01 -3.462862e-01 2.338697e-01
 1.351351e-01 -4.228498e-01 -2.435522e-01 2.381196e-01
 1.361361e-01 -4.782809e-01 -1.210976e-01 2.434173e-01
 1.371371e-01 -4.992194e-01  1.222465e-02 2.493695e-01
 1.381381e-01 -4.835433e-01  1.466786e-01 2.553288e-01
 1.391391e-01 -4.318482e-01  2.723625e-01 2.606742e-01
 1.401401e-01 -3.474331e-01  3.799389e-01 2.650634e-01
 1.411411e-01 -2.360808e-01  4.613244e-01 2.685543e-01
 1.421421e-01 -1.056469e-01  5.102875e-01 2.715546e-01
 1.431431e-01  3.451079e-02  5.229131e-01 2.746291e-01
 1.441441e-01  1.742204e-01  4.978988e-01 2.782559e-01
 1.451451e-01  3.032484e-01  4.366618e-01 2.826332e-01
 1.461461e-01  4.120600e-01  3.432500e-01 2.876140e-01
 1.471471e-01  4.925285e-01  2.240614e-01 2.927879e-01
 1.481481e-01  5.385419e-01  8.739486e-02 2.976652e-01
 1.491491e-01  5.464591e-01 -5.713824e-02 3.018823e-01
 1.501502e-01  5.153841e-01 -1.992977e-01 3.053403e-01
 1.511512e-01  4.472368e-01 -3.289455e-01 3.082259e-01
 1.521522e-01  3.466176e-01 -4.367711e-01 3.109127e-01
 1.531532e-01  2.204762e-01 -5.149597e-01 3.137932e-01
 1.541542e-01  7.761105e-02 -5.577548e-01 3.171139e-01
 1.551552e-01 -7.196389e-02 -5.618753e-01 3.208826e-01
 1.561562e-01 -2.177359e-01 -5.267561e-01 3.248809e-01
 1.571572e-01 -3.494430e-01 -4.545962e-01 3.287681e-01
 1.581582e-01 -4.578015e-01 -3.502096e-01 3.322290e-01
 1.591592e-01 -5.351587e-01 -2.206901e-01 3.350990e-01
 1.601602e-01 -5.760274e-01 -7.491459e-02 3.374197e-01
 1.611612e-01 -5.774624e-01  7.708027e-02 3.394042e-01
 1.621622e-01 -5.392581e-01  2.248022e-01 3.413353e-01
 1.631632e-01 -4.639514e-01  3.580387e-01 3.434427e-01
 1.641642e-01 -3.566353e-01  4.675707e-01 3.458111e-01
 1.651652e-01 -2.245953e-01  5.458136e-01 3.483555e-01
 1.661662e-01 -7.679853e-02  5.873414e-01 3.508680e-01
 1.671672e-01  7.672977e-02  5.892570e-01 3.531112e-01
 1.681682e-01  2.255971e-01  5.513830e-01 3.549172e-01
 1.691692e-01  3.597539e-01  4.762630e-01 3.562493e-01
 1.701702e-01  4.701749e-01  3.689732e-01 3.572056e-01
 1.711712e-01  5.494648e-01  2.367602e-01 3.579670e-01
 1.721722e-01  5.923486e-01  8.853249e-02 3.587149e-01
 1.731732e-01  5.960136e-01 -6.575765e-02 3.595563e-01
 1.741742e-01  5.602828e-01 -2.157973e-01 3.604853e-01
 1.751752e-01  4.876083e-01 -3.516136e-01 3.613940e-01
 1.761762e-01  3.828888e-01 -4.642426e-01 3.621250e-01
 1.771772e-01  2.531240e-01 -5.463220e-01 3.625396e-01
 1.781782e-01  1.069315e-01 -5.925688e-01 3.625721e-01
 1.791792e-01 -4.603926e-02 -6.001093e-01 3.622508e-01
 1.801802e-01 -1.957557e-01 -5.686448e-01 3.616772e-01
 1.811812e-01 -3.324694e-01 -5.004421e-01 3.609783e-01
 1.821822e-01 -4.473572e-01 -4.001545e-01 3.602521e-01
 1.831832e-01 -5.330921e-01 -2.744865e-01 3.595301e-01
 1.841842e-01 -5.843096e-01 -1.317292e-01 3.587702e-01
 1.851852e-01 -5.979363e-01  1.880114e-02 3.578813e-01
 1.861862e-01 -5.733648e-01  1.673835e-01 3.567644e-01
 1.871872e-01 -5.124626e-01  3.045278e-01 3.553551e-01
 1.881882e-01 -4.194191e-01  4.215853e-01 3.536466e-01
