# x psi_r psi_i psi2 
 0.000000e+00 -5.564601e-02  3.622523e-01 1.343232e-01
 1.001001e-03  8.932259e-02  4.581700e-01 2.178983e-01
 2.002002e-03  2.223957e-01  5.391537e-01 3.401466e-01
 3.003003e-03  3.409781e-01  6.029342e-01 4.797958e-01
 4.004004e-03  4.431308e-01  6.477013e-01 6.158818e-01
 5.005005e-03  5.275748e-01  6.721761e-01 7.301559e-01
 6.006006e-03  5.936697e-01  6.756704e-01 8.089742e-01
 7.007007e-03  6.413687e-01  6.581296e-01 8.444884e-01
 8.008008e-03  6.711570e-01  6.201556e-01 8.350447e-01
 9.009009e-03  6.839748e-01  5.630090e-01 7.848006e-01
 1.001001e-02  6.811323e-01  4.885883e-01 7.026597e-01
 1.101101e-02  6.642195e-01  3.993859e-01 6.006966e-01
 1.201201e-02  6.350170e-01  2.984213e-01 4.923018e-01
 1.301301e-02  5.954104e-01  1.891520e-01 3.902920e-01
 1.401401e-02  5.473135e-01  7.536558e-02 3.052320e-01
 1.501502e-02  4.926016e-01 -3.894504e-02 2.441730e-01
 1.601602e-02  4.330573e-01 -1.497186e-01 2.099543e-01
 1.701702e-02  3.703302e-01 -2.529700e-01 2.011382e-01
 1.801802e-02  3.059100e-01 -3.449372e-01 2.125626e-01
 1.901902e-02  2.411126e-01 -4.222250e-01 2.364092e-01
 2.002002e-02  1.770774e-01 -4.819390e-01 2.636216e-01
 2.102102e-02  1.147751e-01 -5.218053e-01 2.854540e-01
 2.202202e-02  5.502105e-02 -5.402692e-01 2.949181e-01
 2.302302e-02 -1.505124e-03 -5.365695e-01 2.879091e-01
 2.402402e-02 -5.423899e-02 -5.107835e-01 2.638417e-01
 2.502503e-02 -1.027109e-01 -4.638398e-01 2.256969e-01
 2.602603e-02 -1.465279e-01 -3.974984e-01 1.794754e-01
 2.702703e-02 -1.853604e-01 -3.142971e-01 1.331411e-01
 2.802803e-02 -2.189332e-01 -2.174650e-01 9.522279e-02
 2.902903e-02 -2.470239e-01 -1.108071e-01 7.329903e-02
 3.003003e-02 -2.694653e-01  1.437184e-03 7.261361e-02
 3.103103e-02 -2.861544e-01  1.147557e-01 9.505319e-02
 3.203203e-02 -2.970645e-01  2.245395e-01 1.386653e-01
 3.303303e-02 -3.022604e-01  3.262652e-01 1.978104e-01
 3.403403e-02 -3.019138e-01  4.156780e-01 2.639402e-01
 3.503504e-02 -2.963172e-01  4.889653e-01 3.268909e-01
 3.603604e-02 -2.858951e-01  5.429152e-01 3.764929e-01
 3.703704e-02 -2.712099e-01  5.750528e-01 4.042405e-01
 3.803804e-02 -2.529607e-01  5.837477e-01 4.047505e-01
 3.903904e-02 -2.319757e-01  5.682877e-01 3.767636e-01
 4.004004e-02 -2.091951e-01  5.289165e-01 3.235153e-01
 4.104104e-02 -1.856465e-01  4.668323e-01 2.523971e-01
 4.204204e-02 -1.624125e-01  3.841473e-01 1.739469e-01
 4.304304e-02 -1.405911e-01  2.838100e-01 1.003140e-01
 4.404404e-02 -1.212519e-01  1.694939e-01 4.343021e-02
 4.504505e-02 -1.053879e-01  4.545570e-02 1.317282e-02
 4.604605e-02 -9.386707e-02 -8.362953e-02 1.580493e-02
 4.704705e-02 -8.738568e-02 -2.128499e-01 5.294133e-02
 4.804805e-02 -8.642455e-02 -3.372472e-01 1.212049e-01
 4.904905e-02 -9.121263e-02 -4.520086e-01 2.126315e-01
 5.005005e-02 -1.016985e-01 -5.526512e-01 3.157659e-01
 5.105105e-02 -1.175327e-01 -6.351920e-01 4.172829e-01
 5.205205e-02 -1.380614e-01 -6.962969e-01 5.038903e-01
 5.305305e-02 -1.623330e-01 -7.334019e-01 5.642303e-01
 5.405405e-02 -1.891182e-01 -7.448032e-01 5.904975e-01
 5.505506e-02 -2.169422e-01 -7.297128e-01 5.795446e-01
 5.605606e-02 -2.441299e-01 -6.882767e-01 5.333243e-01
 5.705706e-02 -2.688612e-01 -6.215589e-01 4.586218e-01
 5.805806e-02 -2.892358e-01 -5.314894e-01 3.661384e-01
 5.905906e-02 -3.033451e-01 -4.207818e-01 2.690756e-01
 6.006006e-02 -3.093478e-01 -2.928236e-01 1.814417e-01
 6.106106e-02 -3.055478e-01 -1.515455e-01 1.163255e-01
 6.206206e-02 -2.904707e-01 -1.274134e-03 8.437482e-02
 6.306306e-02 -2.629361e-01  1.534232e-01 9.267407e-02
 6.406406e-02 -2.221234e-01  3.078974e-01 1.441396e-01
 6.506507e-02 -1.676281e-01  4.575717e-01 2.374711e-01
 6.606607e-02 -9.950559e-02  5.980870e-01 3.676095e-01
 6.706707e-02 -1.830251e-02  7.254323e-01 5.265870e-01
 6.806807e-02  7.492867e-02  8.360560e-01 7.046040e-01
 6.906907e-02  1.786308e-01  9.269564e-01 8.911570e-01
 7.007007e-02  2.907607e-01  9.957469e-01 1.076054e+00
 7.107107e-02  4.088255e-01  1.040699e+00 1.250192e+00
 7.207207e-02  5.299352e-01  1.060757e+00 1.406038e+00
 7.307307e-02  6.508723e-01  1.055539e+00 1.537798e+00
 7.407407e-02  7.681752e-01  1.025304e+00 1.641342e+00
 7.507508e-02  8.782343e-01  9.709153e-01 1.713972e+00
 7.607608e-02  9.773989e-01  8.937789e-01 1.754149e+00
 7.707708e-02  1.062090e+00  7.957808e-01 1.761303e+00
 7.807808e-02  1.128920e+00  6.792104e-01 1.735786e+00
 7.907908e-02  1.174805e+00  5.466852e-01 1.679031e+00
 8.008008e-02  1.197086e+00  4.010736e-01 1.593875e+00
 8.108108e-02  1.193632e+00  2.454215e-01 1.484988e+00
 8.208208e-02  1.162933e+00  8.288348e-02 1.359283e+00
 8.308308e-02  1.104187e+00 -8.333956e-02 1.226174e+00
 8.408408e-02  1.017355e+00 -2.500557e-01 1.097539e+00
 8.508509e-02  9.032050e-01 -4.141299e-01 9.872828e-01
 8.608609e-02  7.633281e-01 -5.725248e-01 9.104544e-01
 8.708709e-02  6.001268e-01 -7.223360e-01 8.819215e-01
 8.808809e-02  4.167800e-01 -8.608224e-01 9.147207e-01
 8.908909e-02  2.171787e-01 -9.854324e-01 1.018244e+00
 9.009009e-02  5.836404e-03 -1.093830e+00 1.196497e+00
 9.109109e-02 -2.122249e-01 -1.183917e+00 1.446698e+00
 9.209209e-02 -4.316101e-01 -1.253859e+00 1.758451e+00
 9.309309e-02 -6.467042e-01 -1.302114e+00 2.113727e+00
 9.409409e-02 -8.518385e-01 -1.327453e+00 2.487759e+00
 9.509510e-02 -1.041465e+00 -1.328993e+00 2.850872e+00
 9.609610e-02 -1.210331e+00 -1.306228e+00 3.171133e+00
