# x psi_r psi_i psi2 
 0.000000e+00 -4.576920e-04  2.523260e-04 2.731503e-07
 1.001001e-03 -6.258310e-04  6.580145e-05 3.959942e-07
 2.002002e-03 -7.086838e-04 -1.086856e-04 5.140452e-07
 3.003003e-03 -7.021305e-04 -2.449030e-04 5.529647e-07
 4.004004e-03 -6.126289e-04 -3.245651e-04 4.806567e-07
 5.005005e-03 -4.556287e-04 -3.395506e-04 3.228921e-07
 6.006006e-03 -2.531235e-04 -2.925631e-04 1.496647e-07
 7.007007e-03 -3.070080e-05 -1.960844e-04 3.939165e-08
 8.008008e-03  1.855273e-04 -6.998257e-05 3.931795e-08
 9.009009e-03  3.717699e-04  6.195152e-05 1.420508e-07
 1.001001e-02  5.088950e-04  1.758606e-04 2.899010e-07
 1.101101e-02  5.840779e-04  2.516236e-04 4.044614e-07
 1.201201e-02  5.916636e-04  2.759186e-04 4.261969e-07
 1.301301e-02  5.332528e-04  2.442472e-04 3.440152e-07
 1.401401e-02  4.170864e-04  1.615174e-04 2.000489e-07
 1.501502e-02  2.568695e-04  4.125739e-05 6.768410e-08
 1.601602e-02  7.019376e-05 -9.653505e-05 1.424618e-08
 1.701702e-02 -1.232611e-04 -2.284480e-04 6.738178e-08
 1.801802e-02 -3.035905e-04 -3.312969e-04 2.019248e-07
 1.901902e-02 -4.524427e-04 -3.856912e-04 3.534621e-07
 2.002002e-02 -5.546016e-04 -3.791446e-04 4.513335e-07
 2.102102e-02 -5.992766e-04 -3.081491e-04 4.540883e-07
 2.202202e-02 -5.810380e-04 -1.790423e-04 3.696613e-07
 2.302302e-02 -5.003393e-04 -7.400493e-06 2.503942e-07
 2.402402e-02 -3.635995e-04  1.838443e-04 1.660033e-07
 2.502503e-02 -1.828165e-04  3.674559e-04 1.684457e-07
 2.602603e-02  2.528095e-05  5.155785e-04 2.664603e-07
 2.702703e-02  2.405268e-04  6.036994e-04 4.223062e-07
 2.802803e-02  4.409930e-04  6.142216e-04 5.717430e-07
 2.902903e-02  6.049562e-04  5.392905e-04 6.568062e-07
 3.003003e-02  7.130133e-04  3.823441e-04 6.545751e-07
 3.103103e-02  7.501742e-04  1.582791e-04 5.878136e-07
 3.203203e-02  7.077213e-04 -1.079651e-04 5.125259e-07
 3.303303e-02  5.846280e-04 -3.841341e-04 4.893489e-07
 3.403403e-02  3.883255e-04 -6.345241e-04 5.534175e-07
 3.503504e-02  1.346659e-04 -8.243964e-04 6.977644e-07
 3.603604e-02 -1.530213e-04 -9.245349e-04 8.781804e-07
 3.703704e-02 -4.457735e-04 -9.152454e-04 1.036388e-06
 3.803804e-02 -7.116468e-04 -7.894134e-04 1.129615e-06
 3.903904e-02 -9.189589e-04 -5.540741e-04 1.151484e-06
 4.004004e-02 -1.039826e-03 -2.303783e-04 1.134312e-06
 4.104104e-02 -1.053611e-03  1.482383e-04 1.132071e-06
 4.204204e-02 -9.498911e-04  5.393979e-04 1.193243e-06
 4.304304e-02 -7.305312e-04  8.964340e-04 1.337270e-06
 4.404404e-02 -4.105609e-04  1.173721e-03 1.546182e-06
 4.504505e-02 -1.761943e-05  1.332217e-03 1.775112e-06
 4.604605e-02  4.100879e-04  1.344438e-03 1.975685e-06
 4.704705e-02  8.272249e-04  1.198409e-03 2.120486e-06
 4.804805e-02  1.185869e-03  8.999402e-04 2.216177e-06
 4.904905e-02  1.440738e-03  4.730301e-04 2.299483e-06
 5.005005e-02  1.554549e-03 -4.186242e-05 2.418375e-06
 5.105105e-02  1.502898e-03 -5.914585e-04 2.608525e-06
 5.205205e-02  1.278059e-03 -1.115018e-03 2.876700e-06
 5.305305e-02  8.911906e-04 -1.550763e-03 3.199087e-06
 5.405405e-02  3.725534e-04 -1.842840e-03 3.534856e-06
 5.505506e-02 -2.304112e-04 -1.947930e-03 3.847519e-06
 5.605606e-02 -8.570991e-04 -1.840897e-03 4.123520e-06
 5.705706e-02 -1.439541e-03 -1.518671e-03 4.378640e-06
 5.805806e-02 -1.909456e-03 -1.001978e-03 4.649982e-06
 5.905906e-02 -2.205847e-03 -3.344813e-04 4.977639e-06
 6.006006e-02 -2.282328e-03  4.205672e-04 5.385898e-06
 6.106106e-02 -2.113332e-03  1.186074e-03 5.872944e-06
 6.206206e-02 -1.698448e-03  1.878624e-03 6.413954e-06
 6.306306e-02 -1.064264e-03  2.417192e-03 6.975474e-06
 6.406406e-02 -2.633705e-04  2.732036e-03 7.533384e-06
 6.506507e-02  6.295718e-04  2.772982e-03 8.085792e-06
 6.606607e-02  1.524431e-03  2.516029e-03 8.654292e-06
 6.706707e-02  2.324332e-03  1.967623e-03 9.274059e-06
 6.806807e-02  2.935686e-03  1.165883e-03 9.977538e-06
