# x psi_r psi_i psi2 
 0.000000e+00 -1.659462e-01 -4.650533e-01 2.438127e-01
 1.001001e-03 -2.890635e-01 -5.842048e-01 4.248529e-01
 2.002002e-03 -3.928208e-01 -6.862193e-01 6.252051e-01
 3.003003e-03 -4.759017e-01 -7.678897e-01 8.161369e-01
 4.004004e-03 -5.379156e-01 -8.265335e-01 9.725109e-01
 5.005005e-03 -5.793258e-01 -8.601009e-01 1.075392e+00
 6.006006e-03 -6.013413e-01 -8.672672e-01 1.113764e+00
 7.007007e-03 -6.057818e-01 -8.475065e-01 1.085239e+00
 8.008008e-03 -5.949249e-01 -8.011426e-01 9.957651e-01
 9.009009e-03 -5.713426e-01 -7.293729e-01 8.584172e-01
 1.001001e-02 -5.377387e-01 -6.342629e-01 6.914524e-01
 1.101101e-02 -4.967948e-01 -5.187098e-01 5.158650e-01
 1.201201e-02 -4.510326e-01 -3.863745e-01 3.527156e-01
 1.301301e-02 -4.026996e-01 -2.415812e-01 2.205284e-01
 1.401401e-02 -3.536828e-01 -8.918940e-02 1.330463e-01
 1.501502e-02 -3.054538e-01  6.556256e-02 9.760049e-02
 1.601602e-02 -2.590460e-01  2.172339e-01 1.142954e-01
 1.701702e-02 -2.150625e-01  3.603747e-01 1.761218e-01
 1.801802e-02 -1.737139e-01  4.897280e-01 2.700100e-01
 1.901902e-02 -1.348790e-01  6.004329e-01 3.787120e-01
 2.002002e-02 -9.818515e-02  6.882214e-01 4.832890e-01
 2.102102e-02 -6.309968e-02  7.495991e-01 5.658804e-01
 2.202202e-02 -2.902731e-02  7.820026e-01 6.123706e-01
 2.302302e-02  4.595384e-03  7.839252e-01 6.145598e-01
 2.402402e-02  3.821382e-02  7.550046e-01 5.714922e-01
 2.502503e-02  7.208427e-02  6.960669e-01 4.897053e-01
 2.602603e-02  1.062218e-01  6.091234e-01 3.823144e-01
 2.702703e-02  1.403716e-01  4.973187e-01 2.670300e-01
 2.802803e-02  1.740037e-01  3.648298e-01 1.633781e-01
 2.902903e-02  2.063337e-01  2.167201e-01 8.954120e-02
 3.003003e-02  2.363650e-01  5.875194e-02 5.932023e-02
 3.103103e-02  2.629519e-01 -1.028345e-01 7.971863e-02
 3.203203e-02  2.848773e-01 -2.615678e-01 1.495728e-01
 3.303303e-02  3.009415e-01 -4.110066e-01 2.594923e-01
 3.403403e-02  3.100541e-01 -5.450054e-01 3.931645e-01
 3.503504e-02  3.113239e-01 -6.579716e-01 5.298492e-01
 3.603604e-02  3.041410e-01 -7.451039e-01 6.476815e-01
 3.703704e-02  2.882443e-01 -8.026002e-01 7.272519e-01
 3.803804e-02  2.637709e-01 -8.278256e-01 7.548704e-01
