# x psi_r psi_i psi2 
 0.000000e+00 -1.089099e-09  2.086450e-09 5.539411e-18
 9.309309e-02  1.210921e-09 -2.326340e-09 6.878189e-18
 9.409409e-02 -1.214468e-09  2.331427e-09 6.910483e-18
 9.509510e-02  1.216163e-09 -2.336721e-09 6.939318e-18
 9.609610e-02 -1.219597e-09  2.341414e-09 6.969635e-18
 9.709710e-02  1.221762e-09 -2.347346e-09 7.002738e-18
 9.809810e-02 -1.224661e-09  2.351738e-09 7.030466e-18
 9.909910e-02  1.227559e-09 -2.358053e-09 7.067317e-18
 1.001001e-01 -1.229827e-09  2.362522e-09 7.093985e-18
 1.011011e-01  1.233446e-09 -2.368880e-09 7.132982e-18
 1.021021e-01 -1.235196e-09  2.373654e-09 7.159943e-18
 1.031031e-01  1.239405e-09 -2.379849e-09 7.199805e-18
 1.041041e-01 -1.240909e-09  2.385204e-09 7.229054e-18
 1.051051e-01  1.245282e-09 -2.390986e-09 7.267544e-18
 1.061061e-01 -1.246911e-09  2.397053e-09 7.300652e-18
 1.071071e-01  1.251053e-09 -2.402448e-09 7.336888e-18
 1.081081e-01 -1.253341e-09  2.409166e-09 7.374947e-18
 1.091091e-01  1.256852e-09 -2.414206e-09 7.408069e-18
 1.101101e-01 -1.259994e-09  2.421380e-09 7.450666e-18
 1.111111e-01  1.262707e-09 -2.426435e-09 7.482015e-18
 1.121121e-01 -1.266743e-09  2.433735e-09 7.527702e-18
 1.131131e-01  1.268817e-09 -2.439180e-09 7.559497e-18
 1.141141e-01 -1.273539e-09  2.446242e-09 7.606000e-18
 1.151151e-01  1.275288e-09 -2.452265e-09 7.639965e-18
 1.161161e-01 -1.280270e-09  2.458930e-09 7.685426e-18
 1.171171e-01  1.282086e-09 -2.465716e-09 7.723498e-18
 1.181181e-01 -1.286866e-09  2.471869e-09 7.766159e-18
 1.191191e-01  1.289271e-09 -2.479423e-09 7.809759e-18
 1.201201e-01 -1.293494e-09  2.485299e-09 7.849838e-18
 1.211211e-01  1.296762e-09 -2.493329e-09 7.898280e-18
 1.221221e-01 -1.300214e-09  2.499148e-09 7.936298e-18
 1.231231e-01  1.304388e-09 -2.507329e-09 7.988124e-18
 1.241241e-01 -1.307164e-09  2.513510e-09 8.026411e-18
 1.251251e-01  1.312075e-09 -2.521510e-09 8.079552e-18
 1.261261e-01 -1.314452e-09  2.528292e-09 8.120043e-18
 1.271271e-01  1.319741e-09 -2.535973e-09 8.172877e-18
 1.281281e-01 -1.322142e-09  2.543485e-09 8.217376e-18
 1.291291e-01  1.327345e-09 -2.550741e-09 8.268127e-18
 1.301301e-01 -1.330176e-09  2.558931e-09 8.317497e-18
 1.311311e-01  1.335028e-09 -2.565933e-09 8.366309e-18
 1.321321e-01 -1.338469e-09  2.574592e-09 8.420025e-18
 1.331331e-01  1.342717e-09 -2.581577e-09 8.467431e-18
 1.341341e-01 -1.347005e-09  2.590498e-09 8.525102e-18
 1.351351e-01  1.350683e-09 -2.597747e-09 8.572636e-18
 1.361361e-01 -1.355629e-09  2.606655e-09 8.632379e-18
 1.371371e-01  1.358964e-09 -2.614331e-09 8.681512e-18
 1.381381e-01 -1.364265e-09  2.623042e-09 8.741568e-18
 1.391391e-01  1.367563e-09 -2.631338e-09 8.794167e-18
 1.401401e-01 -1.372937e-09  2.639873e-09 8.853886e-18
 1.411411e-01  1.376471e-09 -2.648681e-09 8.910183e-18
 1.421421e-01 -1.381777e-09  2.657097e-09 8.969471e-18
 1.431431e-01  1.385724e-09 -2.666303e-09 9.029404e-18
 1.441441e-01 -1.390720e-09  2.674886e-09 9.089118e-18
 1.451451e-01  1.395091e-09 -2.684160e-09 9.150995e-18
 1.461461e-01 -1.399945e-09  2.693127e-09 9.212779e-18
 1.471471e-01  1.404549e-09 -2.702346e-09 9.275431e-18
 1.481481e-01 -1.409540e-09  2.711861e-09 9.340993e-18
 1.491491e-01  1.414082e-09 -2.720891e-09 9.402877e-18
 1.501502e-01 -1.419434e-09  2.731004e-09 9.473175e-18
 1.511512e-01  1.423703e-09 -2.739931e-09 9.534152e-18
 1.521522e-01 -1.429749e-09  2.750475e-09 9.609294e-18
 1.531532e-01  1.433270e-09 -2.759423e-09 9.668677e-18
 1.541542e-01 -1.440488e-09  2.770254e-09 9.749314e-18
 1.551552e-01  1.442937e-09 -2.779516e-09 9.807779e-18
 1.561562e-01 -1.451644e-09  2.790407e-09 9.893639e-18
 1.571572e-01  1.452578e-09 -2.800186e-09 9.951023e-18
 1.581582e-01 -1.463407e-09  2.810788e-09 1.004209e-17
 1.591592e-01  1.462039e-09 -2.821570e-09 1.009882e-17
 1.601602e-01 -1.475782e-09  2.831218e-09 1.019373e-17
 1.611612e-01  1.471137e-09 -2.843878e-09 1.025188e-17
 1.621622e-01 -1.489180e-09  2.851476e-09 1.034857e-17
 1.631632e-01  1.479730e-09 -2.867608e-09 1.041277e-17
 1.641642e-01 -1.503705e-09  2.870970e-09 1.050360e-17
 1.651652e-01  1.487556e-09 -2.893476e-09 1.058502e-17
 1.661662e-01 -1.519465e-09  2.888735e-09 1.065356e-17
 1.671672e-01  1.494714e-09 -2.922729e-09 1.077652e-17
 1.681682e-01 -1.536219e-09  2.903394e-09 1.078967e-17
 1.691692e-01  1.501631e-09 -2.956966e-09 1.099854e-17
 1.701702e-01 -1.553341e-09  2.912891e-09 1.089780e-17
 1.711712e-01  1.509444e-09 -2.998674e-09 1.127047e-17
 1.721722e-01 -1.569110e-09  2.914614e-09 1.095708e-17
 1.731732e-01  1.520518e-09 -3.050847e-09 1.161964e-17
 1.741742e-01 -1.580202e-09  2.905126e-09 1.093680e-17
 1.751752e-01  1.539332e-09 -3.117175e-09 1.208632e-17
 1.761762e-01 -1.580939e-09  2.880610e-09 1.079729e-17
 1.771772e-01  1.573211e-09 -3.201673e-09 1.272570e-17
 1.781782e-01 -1.561879e-09  2.837027e-09 1.048819e-17
 1.791792e-01  1.634232e-09 -3.308063e-09 1.361400e-17
 1.801802e-01 -1.507898e-09  2.771632e-09 9.955699e-18
 1.811812e-01  1.740976e-09 -3.437675e-09 1.484860e-17
 1.821822e-01 -1.396359e-09  2.685078e-09 9.159460e-18
 1.831832e-01  1.920737e-09 -3.586871e-09 1.655488e-17
 1.841842e-01 -1.194865e-09  2.585611e-09 8.113087e-18
 1.851852e-01  2.211648e-09 -3.741315e-09 1.888883e-17
 1.861862e-01 -8.593854e-10  2.495557e-09 6.966348e-18
 1.871872e-01  2.663593e-09 -3.868036e-09 2.205643e-17
 1.881882e-01 -3.342948e-10  2.461656e-09 6.171505e-18
 1.891892e-01  3.337071e-09 -3.903278e-09 2.637162e-17
 1.901902e-01  4.439931e-10  2.568962e-09 6.796694e-18
