# x psi_r psi_i psi2 
 0.000000e+00 -9.379603e-01 -7.319160e-01 1.415470e+00
 1.001001e-03 -8.463422e-01 -7.486677e-01 1.276798e+00
 2.002002e-03 -7.056605e-01 -7.361711e-01 1.039905e+00
 3.003003e-03 -5.226731e-01 -6.979562e-01 7.603301e-01
 4.004004e-03 -3.066302e-01 -6.384919e-01 5.016940e-01
 5.005005e-03 -6.886127e-02 -5.628280e-01 3.215172e-01
 6.006006e-03  1.777694e-01 -4.762249e-01 2.583921e-01
 7.007007e-03  4.195174e-01 -3.837957e-01 3.232940e-01
 8.008008e-03  6.424917e-01 -2.901860e-01 4.970035e-01
 9.009009e-03  8.334304e-01 -1.993139e-01 7.343323e-01
 1.001001e-02  9.804754e-01 -1.141855e-01 9.743703e-01
 1.101101e-02  1.073902e+00 -3.679806e-02 1.154619e+00
 1.201201e-02  1.106755e+00  3.186612e-02 1.225923e+00
 1.301301e-02  1.075359e+00  9.175796e-02 1.164816e+00
 1.401401e-02  9.796416e-01  1.436027e-01 9.803193e-01
 1.501502e-02  8.232766e-01  1.886796e-01 7.133844e-01
 1.601602e-02  6.135939e-01  2.285625e-01 4.287382e-01
 1.701702e-02  3.612737e-01  2.648438e-01 2.006609e-01
 1.801802e-02  7.982545e-02  2.988700e-01 9.569535e-02
 1.901902e-02 -2.151251e-01  3.315107e-01 1.561781e-01
 2.002002e-02 -5.067031e-01  3.629855e-01 3.885065e-01
 2.102102e-02 -7.777589e-01  3.927634e-01 7.591720e-01
 2.202202e-02 -1.011891e+00  4.195472e-01 1.199944e+00
 2.302302e-02 -1.194458e+00  4.413460e-01 1.621516e+00
 2.402402e-02 -1.313505e+00  4.556308e-01 1.932896e+00
 2.502503e-02 -1.360564e+00  4.595630e-01 2.062332e+00
 2.602603e-02 -1.331241e+00  4.502768e-01 1.974951e+00
 2.702703e-02 -1.225580e+00  4.251921e-01 1.682834e+00
 2.802803e-02 -1.048149e+00  3.823312e-01 1.244794e+00
 2.902903e-02 -8.078524e-01  3.206109e-01 7.554168e-01
 3.003003e-02 -5.174589e-01  2.400829e-01 3.254035e-01
 3.103103e-02 -1.928898e-01  1.420985e-01 5.739846e-02
 3.203203e-02  1.477082e-01  2.937817e-02 2.268078e-02
 3.303303e-02  4.850395e-01 -9.402432e-02 2.441039e-01
 3.403403e-02  7.998212e-01 -2.228687e-01 6.893845e-01
 3.503504e-02  1.073954e+00 -3.509795e-01 1.276564e+00
 3.603604e-02  1.291627e+00 -4.715899e-01 1.890698e+00
 3.703704e-02  1.440286e+00 -5.777550e-01 2.408225e+00
 3.803804e-02  1.511396e+00 -6.628087e-01 2.723633e+00
 3.903904e-02  1.500954e+00 -7.208318e-01 2.772462e+00
 4.004004e-02  1.409719e+00 -7.470961e-01 2.545461e+00
 4.104104e-02  1.243138e+00 -7.384527e-01 2.090704e+00
 4.204204e-02  1.010977e+00 -6.936318e-01 1.503200e+00
 4.304304e-02  7.266953e-01 -6.134298e-01 9.043821e-01
 4.404404e-02  4.065819e-01 -5.007651e-01 4.160745e-01
 4.504505e-02  6.873846e-02 -3.605930e-01 1.347523e-01
 4.604605e-02 -2.680392e-01 -1.996801e-01 1.117172e-01
 4.704705e-02 -5.853994e-01 -2.624987e-02 3.433815e-01
 4.804805e-02 -8.665196e-01  1.504830e-01 7.735013e-01
 4.904905e-02 -1.097068e+00  3.208590e-01 1.306509e+00
 5.005005e-02 -1.265986e+00  4.753670e-01 1.828694e+00
 5.105105e-02 -1.366035e+00  6.052458e-01 2.232375e+00
 5.205205e-02 -1.394098e+00  7.030529e-01 2.437793e+00
 5.305305e-02 -1.351203e+00  7.631609e-01 2.408163e+00
 5.405405e-02 -1.242292e+00  7.821472e-01 2.155044e+00
 5.505506e-02 -1.075761e+00  7.590476e-01 1.733415e+00
 5.605606e-02 -8.627990e-01  6.954538e-01 1.228078e+00
 5.705706e-02 -6.165911e-01  5.954457e-01 7.347402e-01
 5.805806e-02 -3.514405e-01  4.653590e-01 3.400694e-01
 5.905906e-02 -8.186909e-02  3.134011e-01 1.049228e-01
 6.006006e-02  1.782399e-01  1.491387e-01 5.401181e-02
 6.106106e-02  4.164047e-01 -1.711171e-02 1.736857e-01
 6.206206e-02  6.221689e-01 -1.749495e-01 4.177014e-01
 6.306306e-02  7.875537e-01 -3.145698e-01 7.191950e-01
 6.406406e-02  9.073230e-01 -4.274103e-01 1.005915e+00
 6.506507e-02  9.790546e-01 -5.067227e-01 1.215316e+00
 6.606607e-02  1.003031e+00 -5.480288e-01 1.306407e+00
 6.706707e-02  9.819728e-01 -5.494286e-01 1.266142e+00
 6.806807e-02  9.206409e-01 -5.117391e-01 1.109457e+00
 6.906907e-02  8.253569e-01 -4.384519e-01 8.734541e-01
 7.007007e-02  7.034726e-01 -3.355102e-01 6.074408e-01
 7.107107e-02  5.628373e-01 -2.109188e-01 3.612725e-01
 7.207207e-02  4.112963e-01 -7.421121e-02 1.746719e-01
 7.307307e-02  2.562554e-01  6.419138e-02 6.978735e-02
 7.407407e-02  1.043320e-01  1.936876e-01 4.840005e-02
 7.507508e-02 -3.889062e-02  3.042227e-01 9.406392e-02
 7.607608e-02 -1.690038e-01  3.869862e-01 1.783206e-01
 7.707708e-02 -2.828104e-01  4.350330e-01 2.692354e-01
 7.807808e-02 -3.782734e-01  4.437859e-01 3.400367e-01
 7.907908e-02 -4.543918e-01  4.113850e-01 3.757095e-01
 8.008008e-02 -5.110285e-01  3.388582e-01 3.759750e-01
 8.108108e-02 -5.487107e-01  2.301019e-01 3.540304e-01
 8.208208e-02 -5.684293e-01  9.166954e-02 3.315152e-01
 8.308308e-02 -5.714538e-01 -6.761870e-02 3.311318e-01
 8.408408e-02 -5.591811e-01 -2.372204e-01 3.689571e-01
 8.508509e-02 -5.330269e-01 -4.055360e-01 4.485772e-01
 8.608609e-02 -4.943648e-01 -5.606508e-01 5.587258e-01
 8.708709e-02 -4.445114e-01 -6.911074e-01 6.752198e-01
 8.808809e-02 -3.847512e-01 -7.866581e-01 7.668644e-01
 8.908909e-02 -3.163904e-01 -8.389487e-01 8.039377e-01
 9.009009e-02 -2.408268e-01 -8.420903e-01 7.671136e-01
 9.109109e-02 -1.596213e-01 -7.930824e-01 6.544587e-01
 9.209209e-02 -7.455704e-02 -6.920598e-01 4.845055e-01
 9.309309e-02  1.232442e-02 -5.423474e-01 2.942926e-01
 9.409409e-02  9.872040e-02 -3.503204e-01 1.324701e-01
 9.509510e-02  1.821012e-01 -1.250773e-01 4.880516e-02
 9.609610e-02  2.597820e-01  1.220541e-01 8.238389e-02
 9.709710e-02  3.290295e-01  3.781459e-01 2.512547e-01
 9.809810e-02  3.871946e-01  6.293984e-01 5.460620e-01
 9.909910e-02  4.318620e-01  8.619220e-01 9.294143e-01
 1.001001e-01  4.610036e-01  1.062527e+00 1.341487e+00
 1.011011e-01  4.731232e-01  1.219473e+00 1.710960e+00
 1.021021e-01  4.673789e-01  1.323142e+00 1.969149e+00
 1.031031e-01  4.436741e-01  1.366586e+00 2.064403e+00
 1.041041e-01  4.027068e-01  1.345923e+00 1.973681e+00
 1.051051e-01  3.459735e-01  1.260575e+00 1.708747e+00
 1.061061e-01  2.757249e-01  1.113310e+00 1.315483e+00
 1.071071e-01  1.948767e-01  9.101123e-01 8.662813e-01
 1.081081e-01  1.068803e-01  6.598766e-01 4.468605e-01
 1.091091e-01  1.556126e-02  3.739518e-01 1.400821e-01
 1.101101e-01 -7.506387e-02  6.555878e-02 9.932538e-03
 1.111111e-01 -1.609806e-01 -2.508856e-01 8.885838e-02
 1.121121e-01 -2.383694e-01 -5.604992e-01 3.709793e-01
 1.131131e-01 -3.037854e-01 -8.486823e-01 8.125472e-01
 1.141141e-01 -3.543188e-01 -1.101845e+00 1.339603e+00
 1.151151e-01 -3.877247e-01 -1.308073e+00 1.861385e+00
 1.161161e-01 -4.025209e-01 -1.457709e+00 2.286938e+00
 1.171171e-01 -3.980482e-01 -1.543808e+00 2.541787e+00
 1.181181e-01 -3.744952e-01 -1.562463e+00 2.581536e+00
 1.191191e-01 -3.328869e-01 -1.512967e+00 2.399883e+00
 1.201201e-01 -2.750416e-01 -1.397833e+00 2.029586e+00
 1.211211e-01 -2.034984e-01 -1.222644e+00 1.536270e+00
 1.221221e-01 -1.214218e-01 -9.957617e-01 1.006285e+00
 1.231231e-01 -3.248425e-02 -7.279065e-01 5.309031e-01
