# x psi_r psi_i psi2 
 0.000000e+00 -9.863547e-01  5.775768e-01 1.306490e+00
 1.001001e-03 -9.950884e-01  4.802864e-01 1.220876e+00
 2.002002e-03 -9.607725e-01  3.494607e-01 1.045207e+00
 3.003003e-03 -8.879139e-01  1.908205e-01 8.248036e-01
 4.004004e-03 -7.826758e-01  1.193083e-02 6.127237e-01
 5.005005e-03 -6.524612e-01 -1.781123e-01 4.574296e-01
 6.006006e-03 -5.054440e-01 -3.691019e-01 3.917099e-01
 7.007007e-03 -3.500762e-01 -5.502287e-01 4.253049e-01
 8.008008e-03 -1.946011e-01 -7.106565e-01 5.429023e-01
 9.009009e-03 -4.660249e-02 -8.401360e-01 7.080004e-01
 1.001001e-02  8.738578e-02 -9.296220e-01 8.718333e-01
 1.101101e-02  2.021866e-01 -9.718590e-01 9.853894e-01
 1.201201e-02  2.941868e-01 -9.618984e-01 1.011794e+00
 1.301301e-02  3.614366e-01 -8.975095e-01 9.361597e-01
 1.401401e-02  4.036360e-01 -7.794550e-01 7.704722e-01
 1.501502e-02  4.220178e-01 -6.116046e-01 5.521592e-01
 1.601602e-02  4.191342e-01 -4.008692e-01 3.363696e-01
 1.701702e-02  3.985697e-01 -1.569511e-01 1.834915e-01
 1.801802e-02  3.645995e-01  1.080872e-01 1.446156e-01
 1.901902e-02  3.218212e-01  3.804168e-01 2.482858e-01
 2.002002e-02  2.747870e-01  6.451721e-01 4.917549e-01
 2.102102e-02  2.276623e-01  8.872771e-01 8.390908e-01
 2.202202e-02  1.839339e-01  1.092321e+00 1.226998e+00
 2.302302e-02  1.461902e-01  1.247433e+00 1.577462e+00
 2.402402e-02  1.159842e-01  1.342097e+00 1.814677e+00
 2.502503e-02  9.378985e-02  1.368857e+00 1.882566e+00
 2.602603e-02  7.904968e-02  1.323864e+00 1.758864e+00
 2.702703e-02  7.030900e-02  1.207218e+00 1.462320e+00
 2.802803e-02  6.542247e-02  1.023093e+00 1.050999e+00
 2.902903e-02  6.181502e-02  7.796005e-01 6.115980e-01
 3.003003e-02  5.677419e-02  4.884282e-01 2.417855e-01
 3.103103e-02  4.774929e-02  1.642415e-01 2.925528e-02
 3.203203e-02  3.263210e-02 -1.761063e-01 3.207830e-02
 3.303303e-02  9.995440e-03 -5.145139e-01 2.648245e-01
 3.403403e-02 -2.073036e-02 -8.326647e-01 6.937603e-01
 3.503504e-02 -5.915831e-02 -1.113091e+00 1.242471e+00
 3.603604e-02 -1.039318e-01 -1.340201e+00 1.806941e+00
 3.703704e-02 -1.527996e-01 -1.501208e+00 2.276973e+00
 3.803804e-02 -2.027738e-01 -1.586894e+00 2.559349e+00
 3.903904e-02 -2.503585e-01 -1.592169e+00 2.597681e+00
 4.004004e-02 -2.918310e-01 -1.516384e+00 2.384586e+00
 4.104104e-02 -3.235539e-01 -1.363375e+00 1.963479e+00
 4.204204e-02 -3.422912e-01 -1.141242e+00 1.419596e+00
 4.304304e-02 -3.455044e-01 -8.618673e-01 8.621885e-01
 4.404404e-02 -3.316015e-01 -5.402190e-01 4.017961e-01
 4.504505e-02 -3.001184e-01 -1.934659e-01 1.275001e-01
 4.604605e-02 -2.518161e-01  1.600242e-01 8.901908e-02
 4.704705e-02 -1.886826e-01  5.017474e-01 2.873516e-01
 4.804805e-02 -1.138379e-01  8.141186e-01 6.757481e-01
 4.904905e-02 -3.134520e-02  1.081453e+00 1.170524e+00
 5.005005e-02  5.405740e-02  1.290818e+00 1.669132e+00
 5.105105e-02  1.372871e-01  1.432697e+00 2.071469e+00
 5.205205e-02  2.132832e-01  1.501446e+00 2.299829e+00
 5.305305e-02  2.773834e-01  1.495497e+00 2.313452e+00
 5.405405e-02  3.256787e-01  1.417326e+00 2.114879e+00
 5.505506e-02  3.553211e-01  1.273179e+00 1.747238e+00
 5.605606e-02  3.647556e-01  1.072591e+00 1.283498e+00
 5.705706e-02  3.538587e-01  8.277261e-01 8.103464e-01
 5.805806e-02  3.239698e-01  5.525970e-01 4.103199e-01
 5.905906e-02  2.778091e-01  2.622077e-01 1.459307e-01
 6.006006e-02  2.192870e-01 -2.832184e-02 4.888894e-02
 6.106106e-02  1.532170e-01 -3.045936e-01 1.162527e-01
 6.206206e-02  8.495082e-02 -5.536857e-01 3.137845e-01
 6.306306e-02  1.996397e-02 -7.647806e-01 5.852879e-01
 6.406406e-02 -3.657792e-02 -9.296355e-01 8.655601e-01
 6.506507e-02 -8.023887e-02 -1.042878e+00 1.094034e+00
 6.606607e-02 -1.076848e-01 -1.102120e+00 1.226265e+00
 6.706707e-02 -1.169784e-01 -1.107891e+00 1.241107e+00
 6.806807e-02 -1.077708e-01 -1.063412e+00 1.142460e+00
 6.906907e-02 -8.137369e-02 -9.742347e-01 9.557550e-01
 7.007007e-02 -4.070133e-02 -8.477703e-01 7.203710e-01
 7.107107e-02  9.916009e-03 -6.927553e-01 4.800082e-01
 7.207207e-02  6.503645e-02 -5.186818e-01 2.732605e-01
 7.307307e-02  1.185095e-01 -3.352332e-01 1.264258e-01
 7.407407e-02  1.639492e-01 -1.517578e-01 4.990977e-02
 7.507508e-02  1.952447e-01  2.319338e-02 3.865842e-02
 7.607608e-02  2.070688e-01  1.822421e-01 7.608966e-02
 7.707708e-02  1.953488e-01  3.194593e-01 1.402154e-01
 7.807808e-02  1.576608e-01  4.305357e-01 2.102180e-01
 7.907908e-02  9.351753e-02  5.128468e-01 2.717573e-01
 8.008008e-02  4.523702e-03  5.654206e-01 3.197209e-01
 8.108108e-02 -1.056155e-01  5.888203e-01 3.578640e-01
 8.208208e-02 -2.312391e-01  5.849576e-01 3.956469e-01
 8.308308e-02 -3.650218e-01  5.568549e-01 4.433282e-01
 8.408408e-02 -4.983967e-01  5.083763e-01 5.068458e-01
 8.508509e-02 -6.220836e-01  4.439459e-01 5.840760e-01
 8.608609e-02 -7.266879e-01  3.682694e-01 6.636977e-01
 8.708709e-02 -8.033331e-01  2.860744e-01 7.271826e-01
 8.808809e-02 -8.442822e-01  2.018802e-01 7.535681e-01
 8.908909e-02 -8.435082e-01  1.198061e-01 7.258596e-01
 9.009009e-02 -7.971721e-01  4.342031e-02 6.373686e-01
 9.109109e-02 -7.039766e-01 -2.436540e-02 4.961768e-01
 9.209209e-02 -5.653688e-01 -8.135905e-02 3.262611e-01
 9.309309e-02 -3.855751e-01 -1.261115e-01 1.645723e-01
 9.409409e-02 -1.714650e-01 -1.579041e-01 5.433395e-02
 9.509510e-02  6.775301e-02 -1.767060e-01 3.581547e-02
 9.609610e-02  3.209850e-01 -1.831072e-01 1.365596e-01
 9.709710e-02  5.758298e-01 -1.782334e-01 3.633471e-01
 9.809810e-02  8.192473e-01 -1.636474e-01 6.979466e-01
 9.909910e-02  1.038278e+00 -1.412424e-01 1.097971e+00
