# x psi_r psi_i psi2 
 0.000000e+00 -1.187785e-05 -7.414653e-05 5.638791e-09
 1.001001e-03  3.539027e-06 -7.697883e-05 5.938264e-09
 2.002002e-03  1.422809e-05 -6.673047e-05 4.655394e-09
 3.003003e-03  1.871683e-05 -4.582400e-05 2.450159e-09
 4.004004e-03  1.718116e-05 -1.819252e-05 6.261600e-10
 5.005005e-03  1.123958e-05  1.142778e-05 2.569222e-10
 6.006006e-03  3.443199e-06  3.823935e-05 1.474103e-09
 7.007007e-03 -3.401808e-06  5.809960e-05 3.387136e-09
 8.008008e-03 -6.939985e-06  6.807158e-05 4.681903e-09
 9.009009e-03 -5.837005e-06  6.679758e-05 4.495987e-09
 1.001001e-02 -1.086296e-07  5.461640e-05 2.982963e-09
 1.101101e-02  8.870667e-06  3.347503e-05 1.199266e-09
 1.201201e-02  1.866673e-05  6.611685e-06 3.921612e-10
 1.301301e-02  2.634204e-05 -2.189354e-05 1.173230e-09
 1.401401e-02  2.914133e-05 -4.769139e-05 3.123685e-09
 1.501502e-02  2.517633e-05 -6.674380e-05 5.088583e-09
 1.601602e-02  1.395213e-05 -7.589453e-05 5.954641e-09
 1.701702e-02 -3.369224e-06 -7.331624e-05 5.386623e-09
 1.801802e-02 -2.404859e-05 -5.882760e-05 4.039021e-09
 1.901902e-02 -4.418360e-05 -3.398693e-05 3.107301e-09
 2.002002e-02 -5.940714e-05 -1.986200e-06 3.533154e-09
 2.102102e-02 -6.573767e-05  3.270725e-05 5.391205e-09
 2.202202e-02 -6.043831e-05  6.488790e-05 7.863229e-09
 2.302302e-02 -4.270594e-05  8.932455e-05 9.802673e-09
 2.402402e-02 -1.405807e-05  1.015189e-04 1.050371e-08
 2.502503e-02  2.169297e-05  9.845813e-05 1.016459e-08
 2.602603e-02  5.889475e-05  7.920228e-05 9.741592e-09
 2.702703e-02  9.090394e-05  4.524822e-05 1.031093e-08
 2.802803e-02  1.111957e-04  5.391740e-07 1.236477e-08
 2.902903e-02  1.145688e-04 -4.887632e-05 1.551491e-08
 3.003003e-02  9.822670e-05 -9.557640e-05 1.878333e-08
 3.103103e-02  6.254428e-05 -1.317725e-04 2.127578e-08
 3.203203e-02  1.134562e-05 -1.505153e-04 2.278356e-08
 3.303303e-02 -4.838774e-05 -1.468817e-04 2.391561e-08
 3.403403e-02 -1.073920e-04 -1.190017e-04 2.569445e-08
 3.503504e-02 -1.554700e-04 -6.868817e-05 2.888898e-08
 3.603604e-02 -1.831402e-04 -1.573045e-06 3.354281e-08
 3.703704e-02 -1.833220e-04  7.338228e-05 3.899191e-08
 3.803804e-02 -1.527887e-04  1.449448e-04 4.435337e-08
 3.903904e-02 -9.311139e-05  2.011796e-04 4.914295e-08
 4.004004e-02 -1.090167e-05  2.312850e-04 5.361160e-08
 4.104104e-02  8.276598e-05  2.274740e-04 5.859461e-08
 4.204204e-02  1.737198e-04  1.865513e-04 6.497997e-08
 4.304304e-02  2.467078e-04  1.109473e-04 7.317404e-08
 4.404404e-02  2.877836e-04  8.930199e-06 8.289917e-08
 4.504505e-02  2.867214e-04 -1.060750e-04 9.346105e-08
 4.604605e-02  2.390556e-04 -2.170962e-04 1.042783e-07
 4.704705e-02  1.473957e-04 -3.059420e-04 1.153260e-07
 4.804805e-02  2.172138e-05 -3.559943e-04 1.272038e-07
 4.904905e-02 -1.214723e-04 -3.550192e-04 1.407942e-07
 5.005005e-02 -2.611627e-04 -2.975923e-04 1.567671e-07
 5.105105e-02 -3.746969e-04 -1.866647e-04 1.752415e-07
 5.205205e-02 -4.412373e-04 -3.398011e-05 1.958450e-07
 5.305305e-02 -4.452442e-04  1.408845e-04 2.180909e-07
 5.405405e-02 -3.794644e-04  3.127928e-04 2.418326e-07
 5.505506e-02 -2.468930e-04  4.544518e-04 2.674826e-07
 5.605606e-02 -6.131933e-05  5.404694e-04 2.958672e-07
 5.705706e-02  1.537740e-04  5.515374e-04 3.278399e-07
 5.805806e-02  3.679243e-04  4.780475e-04 3.638977e-07
 5.905906e-02  5.477539e-04  3.225684e-04 4.040846e-07
 6.006006e-02  6.618649e-04  1.006399e-04 4.481935e-07
 6.106106e-02  6.858939e-04 -1.603455e-04 4.961612e-07
 6.206206e-02  6.069462e-04 -4.242297e-04 5.483546e-07
 6.306306e-02  4.266828e-04 -6.507960e-04 6.055936e-07
 6.406406e-02  1.624513e-04 -8.015683e-04 6.689022e-07
 6.506507e-02 -1.538744e-04 -8.458606e-04 7.391575e-07
 6.606607e-02 -4.793875e-04 -7.662183e-04 8.169028e-07
 6.706707e-02 -7.656318e-04 -5.623175e-04 9.023930e-07
 6.806807e-02 -9.654348e-04 -2.526387e-04 9.958906e-07
 6.906907e-02 -1.040155e-03  1.265842e-04 1.097945e-06
 7.007007e-02 -9.662982e-04  5.251707e-04 1.209536e-06
 7.107107e-02 -7.404404e-04  8.852682e-04 1.331952e-06
 7.207207e-02 -3.815768e-04  1.149314e-03 1.466524e-06
 7.307307e-02  6.968030e-05  1.268684e-03 1.614415e-06
 7.407407e-02  5.551950e-04  1.211737e-03 1.776547e-06
 7.507508e-02  1.006371e-03  9.700578e-04 1.953796e-06
 7.607608e-02  1.353374e-03  5.617710e-04 2.147207e-06
 7.707708e-02  1.535329e-03  3.122868e-05 2.358211e-06
 7.807808e-02  1.510074e-03 -5.552183e-04 2.588591e-06
 7.907908e-02  1.261982e-03 -1.117022e-03 2.840336e-06
 8.008008e-02  8.065569e-04 -1.570000e-03 3.115433e-06
 8.108108e-02  1.908647e-04 -1.838293e-03 3.415751e-06
 8.208208e-02 -5.106007e-04 -1.866124e-03 3.743132e-06
 8.308308e-02 -1.204373e-03 -1.627582e-03 4.099536e-06
 8.408408e-02 -1.789912e-03 -1.132909e-03 4.487268e-06
 8.508509e-02 -2.173489e-03 -4.300549e-04 4.909002e-06
 8.608609e-02 -2.282215e-03  3.990531e-04 5.367750e-06
 8.708709e-02 -2.076198e-03  1.247429e-03 5.866678e-06
 8.808809e-02 -1.556957e-03  1.996220e-03 6.409006e-06
 8.908909e-02 -7.705837e-04  2.530654e-03 6.998008e-06
 9.009009e-02  1.951641e-04  2.756630e-03 7.637098e-06
 9.109109e-02  1.219916e-03  2.615691e-03 8.330034e-06
 9.209209e-02  2.165030e-03  2.096093e-03 9.080962e-06
 9.309309e-02  2.891609e-03  1.238175e-03 9.894478e-06
 9.409409e-02  3.279915e-03  1.327945e-04 1.077548e-05
 9.509510e-02  3.247571e-03 -1.087379e-03 1.172911e-05
 9.609610e-02  2.763902e-03 -2.263085e-03 1.276071e-05
 9.709710e-02  1.858166e-03 -3.228475e-03 1.387583e-05
 9.809810e-02  6.200849e-04 -3.833529e-03 1.508045e-05
 9.909910e-02 -8.079242e-04 -3.965881e-03 1.638096e-05
 1.001001e-01 -2.246333e-03 -3.569076e-03 1.778432e-05
 1.011011e-01 -3.500275e-03 -2.654432e-03 1.929793e-05
 1.021021e-01 -4.384964e-03 -1.304515e-03 2.092967e-05
 1.031031e-01 -4.751519e-03  3.328667e-04 2.268773e-05
 1.041041e-01 -4.509713e-03  2.059910e-03 2.458074e-05
 1.051051e-01 -3.644362e-03  3.651906e-03 2.661779e-05
 1.061061e-01 -2.222723e-03  4.885494e-03 2.880855e-05
 1.071071e-01 -3.913106e-04  5.568681e-03 3.116334e-05
 1.081081e-01  1.638083e-03  5.568641e-03 3.369308e-05
 1.091091e-01  3.612020e-03  4.833498e-03 3.640940e-05
 1.101101e-01  5.266119e-03  3.404763e-03 3.932442e-05
 1.111111e-01  6.359209e-03  1.418236e-03 4.245093e-05
 1.121121e-01  6.706622e-03 -9.074891e-04 4.580232e-05
 1.131131e-01  6.208182e-03 -3.294118e-03 4.939273e-05
 1.141141e-01  4.866884e-03 -5.436040e-03 5.323709e-05
 1.151151e-01  2.795298e-03 -7.038285e-03 5.735114e-05
 1.161161e-01  2.081059e-04 -7.855458e-03 6.175152e-05
 1.171171e-01 -2.599036e-03 -7.726619e-03 6.645563e-05
 1.181181e-01 -5.282364e-03 -6.601394e-03 7.148177e-05
 1.191191e-01 -7.491027e-03 -4.553410e-03 7.684904e-05
 1.201201e-01 -8.911446e-03 -1.778677e-03 8.257755e-05
 1.211211e-01 -9.309507e-03  1.421777e-03 8.868838e-05
 1.221221e-01 -8.565118e-03  4.673589e-03 9.520368e-05
 1.231231e-01 -6.694283e-03  7.571876e-03 1.021467e-04
 1.241241e-01 -3.855286e-03  9.730294e-03 1.095419e-04
 1.251251e-01 -3.373304e-04  1.083055e-02 1.174146e-04
 1.261261e-01  3.467826e-03  1.066611e-02 1.257917e-04
 1.271271e-01  7.108575e-03  9.174379e-03 1.347011e-04
 1.281281e-01  1.012590e-02  6.452760e-03 1.441719e-04
 1.291291e-01  1.210952e-02  2.755785e-03 1.542349e-04
 1.301301e-01  1.275106e-02 -1.527271e-03 1.649221e-04
 1.311311e-01  1.188740e-02 -5.912440e-03 1.762672e-04
 1.321321e-01  9.528603e-03 -9.874774e-03 1.883054e-04
 1.331331e-01  5.866163e-03 -1.290975e-02 2.010735e-04
 1.341341e-01  1.259699e-03 -1.459531e-02 2.146100e-04
 1.351351e-01 -3.797285e-03 -1.464704e-02 2.289552e-04
 1.361361e-01 -8.729410e-03 -1.295951e-02 2.441514e-04
 1.371371e-01 -1.294374e-02 -9.628213e-03 2.602428e-04
 1.381381e-01 -1.589926e-02 -4.948695e-03 2.772760e-04
 1.391391e-01 -1.717352e-02  6.081817e-04 2.952996e-04
 1.401401e-01 -1.651835e-02  6.442727e-03 3.143645e-04
 1.411411e-01 -1.389771e-02  1.189025e-02 3.345245e-04
 1.421421e-01 -9.502444e-03  1.629537e-02 3.558356e-04
 1.431431e-01 -3.739227e-03  1.908861e-02 3.783570e-04
 1.441441e-01  2.805921e-03  1.985642e-02 4.021507e-04
 1.451451e-01  9.426481e-03  1.839629e-02 4.272821e-04
 1.461461e-01  1.537065e-02  1.475002e-02 4.538199e-04
 1.471471e-01  1.992495e-02  9.210473e-03 4.818365e-04
 1.481481e-01  2.249707e-02  2.300056e-03 5.114084e-04
 1.491491e-01  2.268836e-02 -5.277704e-03 5.426160e-04
 1.501502e-01  2.034761e-02 -1.270901e-02 5.755445e-04
 1.511512e-01  1.559918e-02 -1.915591e-02 6.102835e-04
 1.521522e-01  8.841552e-03 -2.384859e-02 6.469283e-04
 1.531532e-01  7.153607e-04 -2.617380e-02 6.855794e-04
 1.541542e-01 -7.956608e-03 -2.574948e-02 7.263433e-04
 1.551552e-01 -1.625183e-02 -2.247690e-02 7.693329e-04
 1.561562e-01 -2.324456e-02 -1.656377e-02 8.146682e-04
 1.571572e-01 -2.810645e-02 -8.514904e-03 8.624761e-04
 1.581582e-01 -3.020040e-02  9.096969e-04 9.128919e-04
 1.591592e-01 -2.915742e-02  1.076586e-02 9.660590e-04
 1.601602e-01 -2.492756e-02  2.001867e-02 1.022130e-03
 1.611612e-01 -1.779868e-02  2.764915e-02 1.081268e-03
 1.621622e-01 -8.380114e-03  3.276308e-02 1.143646e-03
 1.631632e-01  2.448325e-03  3.469082e-02 1.209448e-03
 1.641642e-01  1.361762e-02  3.306705e-02 1.278870e-03
 1.651652e-01  2.397360e-02  2.788168e-02 1.352122e-03
 1.661662e-01  3.239365e-02  1.949561e-02 1.429427e-03
 1.671672e-01  3.790438e-02  8.618674e-03 1.511023e-03
 1.681682e-01  3.978830e-02 -3.749181e-03 1.597165e-03
 1.691692e-01  3.766803e-02 -1.640861e-02 1.688123e-03
 1.701702e-01  3.155894e-02 -2.807524e-02 1.784186e-03
 1.711712e-01  2.188387e-02 -3.750679e-02 1.885663e-03
 1.721722e-01  9.447136e-03 -4.363065e-02 1.992882e-03
 1.731732e-01 -4.630657e-03 -4.565908e-02 2.106195e-03
 1.741742e-01 -1.901192e-02 -4.318011e-02 2.225975e-03
 1.751752e-01 -3.226666e-02 -3.621442e-02 2.352622e-03
 1.761762e-01 -4.301084e-02 -2.523148e-02 2.486559e-03
 1.771772e-01 -5.004541e-02 -1.112196e-02 2.628241e-03
 1.781782e-01 -5.248248e-02  4.872224e-03 2.778149e-03
 1.791792e-01 -4.984576e-02  2.126492e-02 2.936797e-03
 1.801802e-01 -4.213491e-02  3.646066e-02 3.104730e-03
 1.811812e-01 -2.984611e-02  4.890541e-02 3.282529e-03
 1.821822e-01 -1.394560e-02  5.723925e-02 3.470811e-03
 1.831832e-01  4.203179e-03  6.043646e-02 3.670232e-03
 1.841842e-01  2.295341e-02  5.791915e-02 3.881487e-03
 1.851852e-01  4.052036e-02  4.963279e-02 4.105314e-03
 1.861862e-01  5.514610e-02  3.607494e-02 4.342493e-03
 1.871872e-01  6.526833e-02  1.827292e-02 4.593854e-03
 1.881882e-01  6.967804e-02 -2.289722e-03 4.860272e-03
 1.891892e-01  6.765042e-02 -2.379274e-02 5.142674e-03
 1.901902e-01  5.903596e-02 -4.423565e-02 5.442036e-03
 1.911912e-01  4.430158e-02 -6.161788e-02 5.759393e-03
 1.921922e-01  2.451594e-02 -7.412692e-02 6.095832e-03
 1.931932e-01  1.277956e-03 -8.031729e-02 6.452500e-03
 1.941942e-01 -2.340734e-02 -7.926349e-02 6.830604e-03
 1.951952e-01 -4.729623e-02 -7.067164e-02 7.231413e-03
 1.961962e-01 -6.810366e-02 -5.493770e-02 7.656260e-03
 1.971972e-01 -8.371364e-02 -3.314465e-02 8.106541e-03
 1.981982e-01 -9.238386e-02 -6.996007e-03 8.583723e-03
 1.991992e-01 -9.292568e-02  2.131092e-02 9.089338e-03
 2.002002e-01 -8.484168e-02  4.926338e-02 9.624991e-03
 2.012012e-01 -6.840638e-02  7.424907e-02 1.019236e-02
 2.022022e-01 -4.468005e-02  9.379166e-02 1.079318e-02
 2.032032e-01 -1.545113e-02  1.057854e-01 1.142929e-02
 2.042042e-01  1.689075e-02  1.087073e-01 1.210257e-02
 2.052052e-01  4.954308e-02  1.017864e-01 1.281500e-02
 2.062062e-01  7.952571e-02  8.511329e-02 1.356861e-02
 2.072072e-01  1.039441e-01  5.967550e-02 1.436553e-02
 2.082082e-01  1.202576e-01  2.731402e-02 1.520795e-02
 2.092092e-01  1.265297e-01 -9.400665e-03 1.609815e-02
 2.102102e-01  1.216347e-01 -4.736492e-02 1.703845e-02
 2.112112e-01  1.054022e-01 -8.319644e-02 1.803127e-02
 2.122122e-01  7.868129e-02 -1.135269e-01 1.907910e-02
 2.132132e-01  4.331640e-02 -1.353077e-01 2.018449e-02
 2.142142e-01  2.031095e-03 -1.461025e-01 2.135005e-02
 2.152152e-01 -4.177299e-02 -1.443381e-01 2.257848e-02
 2.162162e-01 -8.428852e-02 -1.294911e-01 2.387251e-02
 2.172172e-01 -1.216249e-01 -1.021876e-01 2.523494e-02
 2.182182e-01 -1.501542e-01 -6.420545e-02 2.666863e-02
 2.192192e-01 -1.668501e-01 -1.837203e-02 2.817648e-02
 2.202202e-01 -1.695894e-01  3.163646e-02 2.976143e-02
 2.212212e-01 -1.573874e-01  8.158235e-02 3.142648e-02
 2.222222e-01 -1.305418e-01  1.270176e-01 3.317463e-02
 2.232232e-01 -9.066931e-02  1.636704e-01 3.500894e-02
 2.242242e-01 -4.062545e-02  1.878351e-01 3.693246e-02
 2.252252e-01  1.568935e-02  1.967285e-01 3.894827e-02
 2.262262e-01  7.362639e-02  1.887819e-01 4.105944e-02
 2.272272e-01  1.281653e-01  1.638374e-01 4.326905e-02
 2.282282e-01  1.743411e-01  1.232288e-01 4.558017e-02
 2.292292e-01  2.076853e-01  6.973267e-02 4.799581e-02
 2.302302e-01  2.246428e-01  7.390316e-03 5.051899e-02
 2.312312e-01  2.229268e-01 -5.879030e-02 5.315267e-02
 2.322322e-01  2.017768e-01 -1.232309e-01 5.589974e-02
 2.332332e-01  1.620931e-01 -1.802467e-01 5.876305e-02
 2.342342e-01  1.064316e-01 -2.245388e-01 6.174534e-02
 2.352352e-01  3.885230e-02 -2.516740e-01 6.484929e-02
 2.362362e-01 -3.536948e-02 -2.585082e-01 6.807746e-02
 2.372372e-01 -1.101505e-01 -2.435142e-01 7.143230e-02
 2.382382e-01 -1.790933e-01 -2.069824e-01 7.491613e-02
 2.392392e-01 -2.360276e-01 -1.510698e-01 7.853110e-02
 2.402402e-01 -2.755517e-01 -7.969023e-02 8.227925e-02
 2.412412e-01 -2.935291e-01  1.752701e-03 8.616241e-02
 2.422422e-01 -2.874942e-01  8.677160e-02 9.018224e-02
 2.432432e-01 -2.569282e-01  1.683095e-01 9.434020e-02
 2.442442e-01 -2.033781e-01  2.393217e-01 9.863752e-02
 2.452452e-01 -1.304020e-01  2.933778e-01 1.030752e-01
 2.462462e-01 -4.334059e-02  3.252317e-01 1.076541e-01
 2.472472e-01  5.107172e-02  3.313099e-01 1.123745e-01
 2.482482e-01  1.452278e-01  3.100739e-01 1.172369e-01
 2.492492e-01  2.312597e-01  2.622214e-01 1.222411e-01
 2.502503e-01  3.016930e-01  1.907041e-01 1.273867e-01
 2.512513e-01  3.500882e-01  1.005555e-01 1.326732e-01
 2.522523e-01  3.716144e-01 -1.462528e-03 1.380994e-01
 2.532533e-01  3.635052e-01 -1.073689e-01 1.436641e-01
 2.542543e-01  3.253546e-01 -2.085905e-01 1.493656e-01
 2.552553e-01  2.592238e-01 -2.966561e-01 1.552018e-01
